Verification_Results,Record_ID,Compound_ID,Compound_Name,SMILES,StdInChl,StdInChIKey,Degradation_Target,Recruiter,Recruiter_UniProtID,Cell_Line,Assay,DC50,DC50_units,DC50_h,Dmax,Dmax_h,Dmax_conc,DOI,Connectivity_Key
Image,856,789,Br-Le,NC1=CC(Br)=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,"InChI=1S/C13H12BrN3O3/c14-6-3-7-8(9(15)4-6)5-17(13(7)20)10-1-2-11(18)16-12(10)19/h3-4,10H,1-2,5,15H2,(H,16,18,19)",IIAHEYPYLVKWSS-UHFFFAOYSA-N,IKZF1,CRBN,Q96SW2,,,,,,97.72,,,10.1038/s41467-023-40385-9,IIAHEYPYLVKWSS
Image,859,791,Cl-Le,NC1=CC(Cl)=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,"InChI=1S/C13H12ClN3O3/c14-6-3-7-8(9(15)4-6)5-17(13(7)20)10-1-2-11(18)16-12(10)19/h3-4,10H,1-2,5,15H2,(H,16,18,19)",UKKIIMSPHWNLNC-UHFFFAOYSA-N,IKZF1,CRBN,Q96SW2,,HiBit,190.5,nM,,71.96,,,10.1038/s41467-023-40385-9,UKKIIMSPHWNLNC
Image,859,791,Cl-Le,NC1=CC(Cl)=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,"InChI=1S/C13H12ClN3O3/c14-6-3-7-8(9(15)4-6)5-17(13(7)20)10-1-2-11(18)16-12(10)19/h3-4,10H,1-2,5,15H2,(H,16,18,19)",UKKIIMSPHWNLNC-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,HiBit,230.1,nM,,71.38,,,10.1038/s41467-023-40385-9,UKKIIMSPHWNLNC
Image,863,794,F-Le,NC1=CC(F)=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,"InChI=1S/C13H12FN3O3/c14-6-3-7-8(9(15)4-6)5-17(13(7)20)10-1-2-11(18)16-12(10)19/h3-4,10H,1-2,5,15H2,(H,16,18,19)",ZLSXUIDRXBLOLG-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,HiBit,121.5,nM,,47.35,,,10.1038/s41467-023-40385-9,ZLSXUIDRXBLOLG
Image,863,794,F-Le,NC1=CC(F)=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,"InChI=1S/C13H12FN3O3/c14-6-3-7-8(9(15)4-6)5-17(13(7)20)10-1-2-11(18)16-12(10)19/h3-4,10H,1-2,5,15H2,(H,16,18,19)",ZLSXUIDRXBLOLG-UHFFFAOYSA-N,IKZF1,CRBN,Q96SW2,,HiBit,21.54,nM,,41.54,,,10.1038/s41467-023-40385-9,ZLSXUIDRXBLOLG
Image,926,828,Lenalidomide,NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,"InChI=1S/C13H13N3O3/c14-9-3-1-2-7-8(9)6-16(13(7)19)10-4-5-11(17)15-12(10)18/h1-3,10H,4-6,14H2,(H,15,17,18)",GOTYRUGSSMKFNF-UHFFFAOYSA-N,PLZF,CRBN,Q96SW2,,HiBit,547.1,nM,,81.34,,,10.1038/s41467-023-40385-9,GOTYRUGSSMKFNF
Image,926,828,Lenalidomide,NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,"InChI=1S/C13H13N3O3/c14-9-3-1-2-7-8(9)6-16(13(7)19)10-4-5-11(17)15-12(10)18/h1-3,10H,4-6,14H2,(H,15,17,18)",GOTYRUGSSMKFNF-UHFFFAOYSA-N,IKZF1,CRBN,Q96SW2,,HiBit,87.55,nM,,50.39,,,10.1038/s41467-023-40385-9,GOTYRUGSSMKFNF
Image,926,828,Lenalidomide,NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,"InChI=1S/C13H13N3O3/c14-9-3-1-2-7-8(9)6-16(13(7)19)10-4-5-11(17)15-12(10)18/h1-3,10H,4-6,14H2,(H,15,17,18)",GOTYRUGSSMKFNF-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,HiBit,575,nM,,70.44,,,10.1038/s41467-023-40385-9,GOTYRUGSSMKFNF
Image,926,828,Lenalidomide,NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,"InChI=1S/C13H13N3O3/c14-9-3-1-2-7-8(9)6-16(13(7)19)10-4-5-11(17)15-12(10)18/h1-3,10H,4-6,14H2,(H,15,17,18)",GOTYRUGSSMKFNF-UHFFFAOYSA-N,SALL4,CRBN,Q96SW2,,HiBit,,,,59.37,,,10.1038/s41467-023-40385-9,GOTYRUGSSMKFNF
Image,358,338,ALV1,CC1=CC=C(NC(=O)CCC2=CC=CC(NC3=CC(=O)N(C4CCC(=O)NC4=O)C3=O)=C2)C=C1Cl,"InChI=1S/C25H23ClN4O5/c1-14-5-7-17(12-18(14)26)28-21(31)9-6-15-3-2-4-16(11-15)27-19-13-23(33)30(25(19)35)20-8-10-22(32)29-24(20)34/h2-5,7,11-13,20,27H,6,8-10H2,1H3,(H,28,31)(H,29,32,34)",YDYSAFPHVGVORZ-UHFFFAOYSA-N,IKZF1,CRBN,Q96SW2,,,2.5 ± 0.9,nM,,96.8 ± 0.7,,,10.1038/s41589-021-00802-w,YDYSAFPHVGVORZ
Image,358,338,ALV1,CC1=CC=C(NC(=O)CCC2=CC=CC(NC3=CC(=O)N(C4CCC(=O)NC4=O)C3=O)=C2)C=C1Cl,"InChI=1S/C25H23ClN4O5/c1-14-5-7-17(12-18(14)26)28-21(31)9-6-15-3-2-4-16(11-15)27-19-13-23(33)30(25(19)35)20-8-10-22(32)29-24(20)34/h2-5,7,11-13,20,27H,6,8-10H2,1H3,(H,28,31)(H,29,32,34)",YDYSAFPHVGVORZ-UHFFFAOYSA-N,IKZF2,CRBN,Q96SW2,,,10.3 ± 0.3,nM,,95.6 ± 0.7,,,10.1038/s41589-021-00802-w,YDYSAFPHVGVORZ
Image,361,341,ALV2,CC1=CC=C(NC(=O)NC(C)(C)C2=CC=CC(NC3=CC(=O)N(C4CCC(=O)NC4=O)C3=O)=C2)C=C1Cl,"InChI=1S/C26H26ClN5O5/c1-14-7-8-17(12-18(14)27)29-25(37)31-26(2,3)15-5-4-6-16(11-15)28-19-13-22(34)32(24(19)36)20-9-10-21(33)30-23(20)35/h4-8,11-13,20,28H,9-10H2,1-3H3,(H2,29,31,37)(H,30,33,35)",YKFHBIMJVFQOQL-UHFFFAOYSA-N,IKZF1,CRBN,Q96SW2,,,12.1 ± 0.4,nM,,93.8 ± 0.6,,,10.1038/s41589-021-00802-w,YKFHBIMJVFQOQL
Image,361,341,ALV2,CC1=CC=C(NC(=O)NC(C)(C)C2=CC=CC(NC3=CC(=O)N(C4CCC(=O)NC4=O)C3=O)=C2)C=C1Cl,"InChI=1S/C26H26ClN5O5/c1-14-7-8-17(12-18(14)27)29-25(37)31-26(2,3)15-5-4-6-16(11-15)28-19-13-22(34)32(24(19)36)20-9-10-21(33)30-23(20)35/h4-8,11-13,20,28H,9-10H2,1-3H3,(H2,29,31,37)(H,30,33,35)",YKFHBIMJVFQOQL-UHFFFAOYSA-N,IKZF2,CRBN,Q96SW2,,,4.3 ± 0.8,nM,,95.8 ± 0.5,,,10.1038/s41589-021-00802-w,YKFHBIMJVFQOQL
Name Mismatch,467,428,MMH1-NR,CCC(=O)NC1=CC=C(C2=N[C@@H](CC(=O)OC(C)(C)C)C3=NN=C(C)N3C3=C2C(C)=C(C)S3)C=C1,"InChI=1S/C26H31N5O3S/c1-8-20(32)27-18-11-9-17(10-12-18)23-22-14(2)15(3)35-25(22)31-16(4)29-30-24(31)19(28-23)13-21(33)34-26(5,6)7/h9-12,19H,8,13H2,1-7H3,(H,27,32)/t19-/m0/s1",GNAFUNRWKRPKPL-IBGZPJMESA-N,BRD4,DCAF16,Q9NXF7,,,~ 1,nM,16.0,,,,10.1038/s41589-024-01668-4,GNAFUNRWKRPKPL
Image,920,825,Pomalidomide,NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,"InChI=1S/C13H11N3O4/c14-7-3-1-2-6-10(7)13(20)16(12(6)19)8-4-5-9(17)15-11(8)18/h1-3,8H,4-5,14H2,(H,15,17,18)",UVSMNLNDYGZFPF-UHFFFAOYSA-N,PLZF,CRBN,Q96SW2,,,<100,nM,,,,,10.1038/s42003-021-02801-y,UVSMNLNDYGZFPF
Image,409,377,HQ461,CC1=CC=CC(NC2=NC(CC(=O)NC3=NC=C(C)S3)=CS2)=N1,"InChI=1S/C15H15N5OS2/c1-9-4-3-5-12(17-9)19-15-18-11(8-22-15)6-13(21)20-14-16-7-10(2)23-14/h3-5,7-8H,6H2,1-2H3,(H,16,20,21)(H,17,18,19)",QMRBCNQCRMTXBE-UHFFFAOYSA-N,CDK12-CCNK,DDB1,Q16531,,,132,nM,,,,,10.7554/eLife.59994,QMRBCNQCRMTXBE
Image,428,394,HQ003,CC1=CN=C(NC(=O)CC2=CSC(NC3=NC(Br)=CC=C3)=N2)S1,"InChI=1S/C14H12BrN5OS2/c1-8-6-16-13(23-8)20-12(21)5-9-7-22-14(17-9)19-11-4-2-3-10(15)18-11/h2-4,6-7H,5H2,1H3,(H,16,20,21)(H,17,18,19)",AQNZJUPTCLYFTA-UHFFFAOYSA-N,CDK12-CCNK,DDB1,Q16531,,,407,nM,,,,,10.7554/eLife.59994,AQNZJUPTCLYFTA
Image,429,395,HQ009,CC1=CN=C(NC(=O)CC2=CSC(NC3=NC(C(F)(F)F)=CC=C3)=N2)S1,"InChI=1S/C15H12F3N5OS2/c1-8-6-19-13(26-8)23-12(24)5-9-7-25-14(20-9)22-11-4-2-3-10(21-11)15(16,17)18/h2-4,6-7H,5H2,1H3,(H,19,23,24)(H,20,21,22)",JOEZMQAHQHRTDZ-UHFFFAOYSA-N,CDK12-CCNK,DDB1,Q16531,,,2357,nM,,,,,10.7554/eLife.59994,JOEZMQAHQHRTDZ
Image,430,396,HQ002,CC1=CN=C(NC(=O)CC2=CSC(NC3=NC(Cl)=CC=C3)=N2)S1,"InChI=1S/C14H12ClN5OS2/c1-8-6-16-13(23-8)20-12(21)5-9-7-22-14(17-9)19-11-4-2-3-10(15)18-11/h2-4,6-7H,5H2,1H3,(H,16,20,21)(H,17,18,19)",VWDHDHNMECLICK-UHFFFAOYSA-N,CDK12-CCNK,DDB1,Q16531,,,471,nM,,,,,10.7554/eLife.59994,VWDHDHNMECLICK
Image,432,398,HQ001,CC1=CN=C(NC(=O)CC2=CSC(NC3=NC(F)=CC=C3)=N2)S1,"InChI=1S/C14H12FN5OS2/c1-8-6-16-13(23-8)20-12(21)5-9-7-22-14(17-9)19-11-4-2-3-10(15)18-11/h2-4,6-7H,5H2,1H3,(H,16,20,21)(H,17,18,19)",OLEYDMXPANCHPA-UHFFFAOYSA-N,CDK12-CCNK,DDB1,Q16531,,,300,nM,,,,,10.7554/eLife.59994,OLEYDMXPANCHPA
Image,433,399,HQ007,CC1=CN=C(NC(=O)CC2=CSC(NC3=NC(N)=CC=C3)=N2)S1,"InChI=1S/C14H14N6OS2/c1-8-6-16-13(23-8)20-12(21)5-9-7-22-14(17-9)19-11-4-2-3-10(15)18-11/h2-4,6-7H,5H2,1H3,(H,16,20,21)(H3,15,17,18,19)",QVRPMHDRWHSFIY-UHFFFAOYSA-N,CDK12-CCNK,DDB1,Q16531,,,561,nM,,,,,10.7554/eLife.59994,QVRPMHDRWHSFIY
Image,434,400,HQ008,CC1=CN=C(NC(=O)CC2=CSC(NC3=NC(N4C=CC=N4)=CC=C3)=N2)S1,"InChI=1S/C17H15N7OS2/c1-11-9-18-16(27-11)23-15(25)8-12-10-26-17(20-12)22-13-4-2-5-14(21-13)24-7-3-6-19-24/h2-7,9-10H,8H2,1H3,(H,18,23,25)(H,20,21,22)",GOZYMSUKKKEICN-UHFFFAOYSA-N,CDK12-CCNK,DDB1,Q16531,,,5030,nM,,,,,10.7554/eLife.59994,GOZYMSUKKKEICN
Image,435,401,HQ010,CC1=CN=C(NC(=O)CC2=CSC(NC3=NC=CC=C3)=N2)S1,"InChI=1S/C14H13N5OS2/c1-9-7-16-13(22-9)19-12(20)6-10-8-21-14(17-10)18-11-4-2-3-5-15-11/h2-5,7-8H,6H2,1H3,(H,15,17,18)(H,16,19,20)",IRVKFRZWUBEJNQ-UHFFFAOYSA-N,CDK12-CCNK,DDB1,Q16531,,,811,nM,,,,,10.7554/eLife.59994,IRVKFRZWUBEJNQ
Image,474,435,HQ004,CCC1=CC=CC(NC2=NC(CC(=O)NC3=NC=C(C)S3)=CS2)=N1,"InChI=1S/C16H17N5OS2/c1-3-11-5-4-6-13(18-11)20-16-19-12(9-23-16)7-14(22)21-15-17-8-10(2)24-15/h4-6,8-9H,3,7H2,1-2H3,(H,17,21,22)(H,18,19,20)",GABXTADXGHTPSI-UHFFFAOYSA-N,CDK12-CCNK,DDB1,Q16531,,,542,nM,,,,,10.7554/eLife.59994,GABXTADXGHTPSI
Image,767,712,HQ006,COC1=CC=CC(NC2=NC(CC(=O)NC3=NC=C(C)S3)=CS2)=N1,"InChI=1S/C15H15N5O2S2/c1-9-7-16-14(24-9)20-12(21)6-10-8-23-15(17-10)19-11-4-3-5-13(18-11)22-2/h3-5,7-8H,6H2,1-2H3,(H,16,20,21)(H,17,18,19)",XHNSBGHKGAKQLE-UHFFFAOYSA-N,CDK12-CCNK,DDB1,Q16531,,,466,nM,,,,,10.7554/eLife.59994,XHNSBGHKGAKQLE
