DOI,Compound_Name,IUPAC_Name,SMILES,SMILES_Source,Degradation_Target,Recruiter,Assay,Cell_Line,DC50,DC50_units,DC50_h,Dmax,Dmax_h,Dmax_conc,Standard_InChIKey,Standard_InChIKey_Source,IUPAC_Name_Source,Connectivity_Key
10.1016/j.apsb.2020.11.009,7p,,,,Bcr-AblT315I,CRBN,Western blot,Ba/F3 Bcr-AblT315I,,,,63.47,,300 nmol/L,,,,
10.1016/j.apsb.2020.11.009,7q,,,,Bcr-AblT315I,CRBN,Western blot,Ba/F3 Bcr-AblT315I,,,,14.25,,300 nmol/L,,,,
10.1016/j.apsb.2020.11.009,7s,,,,Bcr-AblT315I,CRBN,Western blot,Ba/F3 Bcr-AblT315I,,,,45.61,,300 nmol/L,,,,
10.1016/j.apsb.2020.11.009,7t,,,,Bcr-AblT315I,CRBN,Western blot,Ba/F3 Bcr-AblT315I,,,,28.73,,300 nmol/L,,,,
10.1021/acs.jmedchem.2c00771,NU223612,"(2R)-N-(4-((1-(3-(2-(2-((2-(2,6-Dioxopiperidin-3-yl)-1,3-dioxoisoindolin-4-Yl)amino)ethoxy)ethoxy)propanoyl)piperidin-4-yl)oxy)phenyl)-2-((1S,4S)-4-(6-fluoroquinolin-4-yl)cyclohexyl)propenamide",C[C@H](C1CCC(CC1)C2=C3C=C(C=CC3=NC=C2)F)C(=O)NC4=CC=C(C=C4)OC5CCN(CC5)C(=O)CCOCCOCCNC6=CC=CC7=C6C(=O)N(C7=O)C8CCC(=O)NC8=O,PUBCHEM,IDO1,CRBN,Western blot densitometry,U87,329,nM,24 h,,,,PLYOHMQINGIYDN-LVMIGYEDSA-N,PUBCHEM,,PLYOHMQINGIYDN
10.1021/acs.jmedchem.2c00771,NU223612,"(2R)-N-(4-((1-(3-(2-(2-((2-(2,6-Dioxopiperidin-3-yl)-1,3-dioxoisoindolin-4-Yl)amino)ethoxy)ethoxy)propanoyl)piperidin-4-yl)oxy)phenyl)-2-((1S,4S)-4-(6-fluoroquinolin-4-yl)cyclohexyl)propenamide",C[C@H](C1CCC(CC1)C2=C3C=C(C=CC3=NC=C2)F)C(=O)NC4=CC=C(C=C4)OC5CCN(CC5)C(=O)CCOCCOCCNC6=CC=CC7=C6C(=O)N(C7=O)C8CCC(=O)NC8=O,PUBCHEM,IDO1,CRBN,Western blot densitometry,GBM43,543.8,nM,24 h,,,,PLYOHMQINGIYDN-LVMIGYEDSA-N,PUBCHEM,,PLYOHMQINGIYDN
10.1016/j.redox.2022.102552,14,,,,KEAP1,CRBN,Western blot (immunoblot),HEK293T,11,nM,,94,,1 μM,,,,
10.1016/j.redox.2022.102552,14,,,,KEAP1,CRBN,Western blot (immunoblot),BEAS-2B,< 1,nM,,90,,62.5 nM,,,,
10.1021/jacs.2c05499,XL01134,,,,LRRK2,VHL,Western blot,WT LRRK2 MEFs,32,nM,4 h,59,4 h,300 nM,,,,
10.1021/jacs.2c05499,XL01134,,,,LRRK2,VHL,Western blot,G2019S LRRK2 MEFs,7,nM,4 h,81,4 h,300 nM,,,,
10.1021/jacs.2c05499,XL01126,"(2S,4R)-1-((R)-3-((((1R,4R)-4-((4-(4-((5-Chloro-4-(methylamino)pyrimidin-2-yl)amino)-3-methoxybenzoyl)piperazin-1-yl)methyl)cyclohexyl)methyl)thio)-2-(1-fluorocyclopropane-1-carboxamido)-3-methylbutanoyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",CC1=C(SC=N1)C2=CC=C(C=C2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)SCC4CCC(CC4)CN5CCN(CC5)C(=O)C6=CC(=C(C=C6)NC7=NC=C(C(=N7)NC)Cl)OC)NC(=O)C8(CC8)F)O,PUBCHEM,LRRK2,VHL,Western blot,WT LRRK2 MEFs,32,nM,4 h,82,4 h,~1 μM,HKSBXNVKPFTBIG-WUEKOBJSSA-N,PUBCHEM,,HKSBXNVKPFTBIG
10.1021/jacs.2c05499,XL01126,"(2S,4R)-1-((R)-3-((((1R,4R)-4-((4-(4-((5-Chloro-4-(methylamino)pyrimidin-2-yl)amino)-3-methoxybenzoyl)piperazin-1-yl)methyl)cyclohexyl)methyl)thio)-2-(1-fluorocyclopropane-1-carboxamido)-3-methylbutanoyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",CC1=C(SC=N1)C2=CC=C(C=C2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)SCC4CCC(CC4)CN5CCN(CC5)C(=O)C6=CC(=C(C=C6)NC7=NC=C(C(=N7)NC)Cl)OC)NC(=O)C8(CC8)F)O,PUBCHEM,LRRK2,VHL,Western blot,G2019S LRRK2 MEFs,14,nM,4 h,90,4 h,~1 μM,HKSBXNVKPFTBIG-WUEKOBJSSA-N,PUBCHEM,,HKSBXNVKPFTBIG
10.1021/jacs.2c05499,SD75,"(2S,4R)-1-((R)-3-((2-(2-(2-(4-(4-((5-chloro-4-(methylamino)pyrimidin-2-yl)amino)-3-methoxybenzoyl)piperazin-1-yl)ethoxy)ethoxy)ethyl)thio)-2-(1-fluorocyclopropane-1-carboxamido)-3-methylbutanoyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",ClC=1C(=NC(=NC1)NC1=C(C=C(C(=O)N2CCN(CC2)CCOCCOCCSC([C@@H](C(=O)N2[C@@H](C[C@H](C2)O)C(=O)NCC2=CC=C(C=C2)C2=C(N=CS2)C)NC(=O)C2(CC2)F)(C)C)C=C1)OC)NC,OPSIN,LRRK2,VHL,Western blot,WT LRRK2 MEFs,,,,51,24 h,3 μM,LBKIODBZMHAVSB-WPPCIPCFSA-N,OPSIN,,LBKIODBZMHAVSB
10.1021/jacs.2c05499,SD75,"(2S,4R)-1-((R)-3-((2-(2-(2-(4-(4-((5-chloro-4-(methylamino)pyrimidin-2-yl)amino)-3-methoxybenzoyl)piperazin-1-yl)ethoxy)ethoxy)ethyl)thio)-2-(1-fluorocyclopropane-1-carboxamido)-3-methylbutanoyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",ClC=1C(=NC(=NC1)NC1=C(C=C(C(=O)N2CCN(CC2)CCOCCOCCSC([C@@H](C(=O)N2[C@@H](C[C@H](C2)O)C(=O)NCC2=CC=C(C=C2)C2=C(N=CS2)C)NC(=O)C2(CC2)F)(C)C)C=C1)OC)NC,OPSIN,LRRK2,VHL,Western blot,G2019S LRRK2 MEFs,,,,58,24 h,3 μM,LBKIODBZMHAVSB-WPPCIPCFSA-N,OPSIN,,LBKIODBZMHAVSB
10.1021/jacs.2c05499,XL01126,"(2S,4R)-1-((R)-3-((((1R,4R)-4-((4-(4-((5-Chloro-4-(methylamino)pyrimidin-2-yl)amino)-3-methoxybenzoyl)piperazin-1-yl)methyl)cyclohexyl)methyl)thio)-2-(1-fluorocyclopropane-1-carboxamido)-3-methylbutanoyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",CC1=C(SC=N1)C2=CC=C(C=C2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)SCC4CCC(CC4)CN5CCN(CC5)C(=O)C6=CC(=C(C=C6)NC7=NC=C(C(=N7)NC)Cl)OC)NC(=O)C8(CC8)F)O,PUBCHEM,LRRK2,VHL,Western blot,R1441C LRRK2 MEFs,15,nM,4 h,89,4 h,,HKSBXNVKPFTBIG-WUEKOBJSSA-N,PUBCHEM,,HKSBXNVKPFTBIG
10.1021/jacs.2c05499,XL01126,"(2S,4R)-1-((R)-3-((((1R,4R)-4-((4-(4-((5-Chloro-4-(methylamino)pyrimidin-2-yl)amino)-3-methoxybenzoyl)piperazin-1-yl)methyl)cyclohexyl)methyl)thio)-2-(1-fluorocyclopropane-1-carboxamido)-3-methylbutanoyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",CC1=C(SC=N1)C2=CC=C(C=C2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)SCC4CCC(CC4)CN5CCN(CC5)C(=O)C6=CC(=C(C=C6)NC7=NC=C(C(=N7)NC)Cl)OC)NC(=O)C8(CC8)F)O,PUBCHEM,LRRK2,VHL,Western blot,BMDMs,55,nM,4 h,83,4 h,,HKSBXNVKPFTBIG-WUEKOBJSSA-N,PUBCHEM,,HKSBXNVKPFTBIG
10.1021/jacs.2c05499,XL01126,"(2S,4R)-1-((R)-3-((((1R,4R)-4-((4-(4-((5-Chloro-4-(methylamino)pyrimidin-2-yl)amino)-3-methoxybenzoyl)piperazin-1-yl)methyl)cyclohexyl)methyl)thio)-2-(1-fluorocyclopropane-1-carboxamido)-3-methylbutanoyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",CC1=C(SC=N1)C2=CC=C(C=C2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)SCC4CCC(CC4)CN5CCN(CC5)C(=O)C6=CC(=C(C=C6)NC7=NC=C(C(=N7)NC)Cl)OC)NC(=O)C8(CC8)F)O,PUBCHEM,LRRK2,VHL,Western blot,PBMCs,72,nM,4 h,83,4 h,,HKSBXNVKPFTBIG-WUEKOBJSSA-N,PUBCHEM,,HKSBXNVKPFTBIG
10.1021/jacs.2c05499,XL01126,"(2S,4R)-1-((R)-3-((((1R,4R)-4-((4-(4-((5-Chloro-4-(methylamino)pyrimidin-2-yl)amino)-3-methoxybenzoyl)piperazin-1-yl)methyl)cyclohexyl)methyl)thio)-2-(1-fluorocyclopropane-1-carboxamido)-3-methylbutanoyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",CC1=C(SC=N1)C2=CC=C(C=C2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)SCC4CCC(CC4)CN5CCN(CC5)C(=O)C6=CC(=C(C=C6)NC7=NC=C(C(=N7)NC)Cl)OC)NC(=O)C8(CC8)F)O,PUBCHEM,LRRK2,VHL,Western blot,PBMCs,17,nM,24 h,89,24 h,,HKSBXNVKPFTBIG-WUEKOBJSSA-N,PUBCHEM,,HKSBXNVKPFTBIG
10.1080/14756366.2022.2100886,A13,,,,FAK,CRBN,Western blot,A549,,,,85,12 h,10 nM,,,,
10.1038/s41467-022-33430-6,6,"(2S,4R)-N-((S)-4-(4-(4-bromo-7-cyclopentyl-5-oxo-5,7-dihydrobenzo[4,5]imidazo[1,2-a]quinazolin-9 yl)piperidin-1-yl)-1-(4-(4-methylthiazol-5-yl)phenyl)butyl)-1-((S)-2-(1-fluorocyclopropane-1 carboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2-carboxamide",BrC=1C=2C(N=C3N(C2C=CC1)C1=C(N3C3CCCC3)C=C(C=C1)C1CCN(CC1)CCC[C@@H](C1=CC=C(C=C1)C1=C(N=CS1)C)NC(=O)[C@H]1N(C[C@@H](C1)O)C([C@H](C(C)(C)C)NC(=O)C1(CC1)F)=O)=O,OPSIN,SMARCA2,VHL,capillary electrophoresis,RKO,1±1,nM,18,84±4,18,,DUPGTSRNDUFWBT-BYIGUQMMSA-N,OPSIN,,DUPGTSRNDUFWBT
10.1038/s41467-022-33430-6,6,"(2S,4R)-N-((S)-4-(4-(4-bromo-7-cyclopentyl-5-oxo-5,7-dihydrobenzo[4,5]imidazo[1,2-a]quinazolin-9 yl)piperidin-1-yl)-1-(4-(4-methylthiazol-5-yl)phenyl)butyl)-1-((S)-2-(1-fluorocyclopropane-1 carboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2-carboxamide",BrC=1C=2C(N=C3N(C2C=CC1)C1=C(N3C3CCCC3)C=C(C=C1)C1CCN(CC1)CCC[C@@H](C1=CC=C(C=C1)C1=C(N=CS1)C)NC(=O)[C@H]1N(C[C@@H](C1)O)C([C@H](C(C)(C)C)NC(=O)C1(CC1)F)=O)=O,OPSIN,SMARCA4,VHL,capillary electrophoresis,RKO,6±2,nM,18,89±4,18,,DUPGTSRNDUFWBT-BYIGUQMMSA-N,OPSIN,,DUPGTSRNDUFWBT
10.1038/s41467-022-33430-6,6,"(2S,4R)-N-((S)-4-(4-(4-bromo-7-cyclopentyl-5-oxo-5,7-dihydrobenzo[4,5]imidazo[1,2-a]quinazolin-9 yl)piperidin-1-yl)-1-(4-(4-methylthiazol-5-yl)phenyl)butyl)-1-((S)-2-(1-fluorocyclopropane-1 carboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2-carboxamide",BrC=1C=2C(N=C3N(C2C=CC1)C1=C(N3C3CCCC3)C=C(C=C1)C1CCN(CC1)CCC[C@@H](C1=CC=C(C=C1)C1=C(N=CS1)C)NC(=O)[C@H]1N(C[C@@H](C1)O)C([C@H](C(C)(C)C)NC(=O)C1(CC1)F)=O)=O,OPSIN,SMARCA2,VHL,capillary electrophoresis,NCI-H1568,5±3,nM,4,94±5,4,,DUPGTSRNDUFWBT-BYIGUQMMSA-N,OPSIN,,DUPGTSRNDUFWBT
10.1038/s41467-022-33430-6,8,"(2S,4R)-N-((R)-2-(2-(4-(4-bromo-7-cyclopentyl-5-oxo-5,7-dihydrobenzo[4,5]imidazo[1,2-a]quinazolin-9 yl)piperidin-1-yl)ethoxy)-1-(4-(4-methylthiazol-5-yl)phenyl)ethyl)-1-((S)-2-(1-fluorocyclopropane-1 carboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2-carboxamide",BrC=1C=2C(N=C3N(C2C=CC1)C1=C(N3C3CCCC3)C=C(C=C1)C1CCN(CC1)CCOC[C@@H](C1=CC=C(C=C1)C1=C(N=CS1)C)NC(=O)[C@H]1N(C[C@@H](C1)O)C([C@H](C(C)(C)C)NC(=O)C1(CC1)F)=O)=O,OPSIN,SMARCA2,VHL,capillary electrophoresis,RKO,10±2,nM,18,80±8,18,,HOBINWBQKZMFPS-BYIGUQMMSA-N,OPSIN,,HOBINWBQKZMFPS
10.1038/s41467-022-33430-6,8,"(2S,4R)-N-((R)-2-(2-(4-(4-bromo-7-cyclopentyl-5-oxo-5,7-dihydrobenzo[4,5]imidazo[1,2-a]quinazolin-9 yl)piperidin-1-yl)ethoxy)-1-(4-(4-methylthiazol-5-yl)phenyl)ethyl)-1-((S)-2-(1-fluorocyclopropane-1 carboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2-carboxamide",BrC=1C=2C(N=C3N(C2C=CC1)C1=C(N3C3CCCC3)C=C(C=C1)C1CCN(CC1)CCOC[C@@H](C1=CC=C(C=C1)C1=C(N=CS1)C)NC(=O)[C@H]1N(C[C@@H](C1)O)C([C@H](C(C)(C)C)NC(=O)C1(CC1)F)=O)=O,OPSIN,SMARCA4,VHL,capillary electrophoresis,RKO,>25000,nM,18,-,18,,HOBINWBQKZMFPS-BYIGUQMMSA-N,OPSIN,,HOBINWBQKZMFPS
10.1038/s41467-022-33430-6,8,"(2S,4R)-N-((R)-2-(2-(4-(4-bromo-7-cyclopentyl-5-oxo-5,7-dihydrobenzo[4,5]imidazo[1,2-a]quinazolin-9 yl)piperidin-1-yl)ethoxy)-1-(4-(4-methylthiazol-5-yl)phenyl)ethyl)-1-((S)-2-(1-fluorocyclopropane-1 carboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2-carboxamide",BrC=1C=2C(N=C3N(C2C=CC1)C1=C(N3C3CCCC3)C=C(C=C1)C1CCN(CC1)CCOC[C@@H](C1=CC=C(C=C1)C1=C(N=CS1)C)NC(=O)[C@H]1N(C[C@@H](C1)O)C([C@H](C(C)(C)C)NC(=O)C1(CC1)F)=O)=O,OPSIN,SMARCA2,VHL,capillary electrophoresis,RKO,23±8,nM,4,75±8,4,,HOBINWBQKZMFPS-BYIGUQMMSA-N,OPSIN,,HOBINWBQKZMFPS
10.1038/s41467-022-33430-6,8,"(2S,4R)-N-((R)-2-(2-(4-(4-bromo-7-cyclopentyl-5-oxo-5,7-dihydrobenzo[4,5]imidazo[1,2-a]quinazolin-9 yl)piperidin-1-yl)ethoxy)-1-(4-(4-methylthiazol-5-yl)phenyl)ethyl)-1-((S)-2-(1-fluorocyclopropane-1 carboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2-carboxamide",BrC=1C=2C(N=C3N(C2C=CC1)C1=C(N3C3CCCC3)C=C(C=C1)C1CCN(CC1)CCOC[C@@H](C1=CC=C(C=C1)C1=C(N=CS1)C)NC(=O)[C@H]1N(C[C@@H](C1)O)C([C@H](C(C)(C)C)NC(=O)C1(CC1)F)=O)=O,OPSIN,SMARCA2,VHL,capillary electrophoresis,NCI-H1568,50±7,nM,4,85±4,4,,HOBINWBQKZMFPS-BYIGUQMMSA-N,OPSIN,,HOBINWBQKZMFPS
10.1038/s41467-022-33430-6,9,"(2S,4R)-N-((R)-2-(((R)-1-(4-(4-bromo-7-cyclopentyl-5-oxo-5,7-dihydrobenzo[4,5]imidazo[1,2-a]quinazolin-9-yl)piperidin-1-yl)propan-2-yl)oxy)-1-(4-(4-methylthiazol-5-yl)phenyl)ethyl)-1-((S)-2-(1-fluorocyclopropanecarboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2-carboxamide",BrC=1C=2C(N=C3N(C2C=CC1)C1=C(N3C3CCCC3)C=C(C=C1)C1CCN(CC1)C[C@@H](C)OC[C@@H](C1=CC=C(C=C1)C1=C(N=CS1)C)NC(=O)[C@H]1N(C[C@@H](C1)O)C([C@H](C(C)(C)C)NC(=O)C1(CC1)F)=O)=O,OPSIN,SMARCA2,VHL,capillary electrophoresis,RKO,5±1,nM,18,76±10,18,,BWFPCIGALPXWPF-BLVIHPBHSA-N,OPSIN,,BWFPCIGALPXWPF
10.1038/s41467-022-33430-6,9,"(2S,4R)-N-((R)-2-(((R)-1-(4-(4-bromo-7-cyclopentyl-5-oxo-5,7-dihydrobenzo[4,5]imidazo[1,2-a]quinazolin-9-yl)piperidin-1-yl)propan-2-yl)oxy)-1-(4-(4-methylthiazol-5-yl)phenyl)ethyl)-1-((S)-2-(1-fluorocyclopropanecarboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2-carboxamide",BrC=1C=2C(N=C3N(C2C=CC1)C1=C(N3C3CCCC3)C=C(C=C1)C1CCN(CC1)C[C@@H](C)OC[C@@H](C1=CC=C(C=C1)C1=C(N=CS1)C)NC(=O)[C@H]1N(C[C@@H](C1)O)C([C@H](C(C)(C)C)NC(=O)C1(CC1)F)=O)=O,OPSIN,SMARCA4,VHL,capillary electrophoresis,RKO,1779±1802,nM,18,88±16,18,,BWFPCIGALPXWPF-BLVIHPBHSA-N,OPSIN,,BWFPCIGALPXWPF
10.1038/s41467-022-33430-6,9,"(2S,4R)-N-((R)-2-(((R)-1-(4-(4-bromo-7-cyclopentyl-5-oxo-5,7-dihydrobenzo[4,5]imidazo[1,2-a]quinazolin-9-yl)piperidin-1-yl)propan-2-yl)oxy)-1-(4-(4-methylthiazol-5-yl)phenyl)ethyl)-1-((S)-2-(1-fluorocyclopropanecarboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2-carboxamide",BrC=1C=2C(N=C3N(C2C=CC1)C1=C(N3C3CCCC3)C=C(C=C1)C1CCN(CC1)C[C@@H](C)OC[C@@H](C1=CC=C(C=C1)C1=C(N=CS1)C)NC(=O)[C@H]1N(C[C@@H](C1)O)C([C@H](C(C)(C)C)NC(=O)C1(CC1)F)=O)=O,OPSIN,SMARCA2,VHL,capillary electrophoresis,RKO,12±4,nM,4,72±7,4,,BWFPCIGALPXWPF-BLVIHPBHSA-N,OPSIN,,BWFPCIGALPXWPF
10.1038/s41467-022-33430-6,9,"(2S,4R)-N-((R)-2-(((R)-1-(4-(4-bromo-7-cyclopentyl-5-oxo-5,7-dihydrobenzo[4,5]imidazo[1,2-a]quinazolin-9-yl)piperidin-1-yl)propan-2-yl)oxy)-1-(4-(4-methylthiazol-5-yl)phenyl)ethyl)-1-((S)-2-(1-fluorocyclopropanecarboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2-carboxamide",BrC=1C=2C(N=C3N(C2C=CC1)C1=C(N3C3CCCC3)C=C(C=C1)C1CCN(CC1)C[C@@H](C)OC[C@@H](C1=CC=C(C=C1)C1=C(N=CS1)C)NC(=O)[C@H]1N(C[C@@H](C1)O)C([C@H](C(C)(C)C)NC(=O)C1(CC1)F)=O)=O,OPSIN,SMARCA4,VHL,capillary electrophoresis,RKO,>25000,nM,4,-,4,,BWFPCIGALPXWPF-BLVIHPBHSA-N,OPSIN,,BWFPCIGALPXWPF
10.1038/s41467-022-33430-6,9,"(2S,4R)-N-((R)-2-(((R)-1-(4-(4-bromo-7-cyclopentyl-5-oxo-5,7-dihydrobenzo[4,5]imidazo[1,2-a]quinazolin-9-yl)piperidin-1-yl)propan-2-yl)oxy)-1-(4-(4-methylthiazol-5-yl)phenyl)ethyl)-1-((S)-2-(1-fluorocyclopropanecarboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2-carboxamide",BrC=1C=2C(N=C3N(C2C=CC1)C1=C(N3C3CCCC3)C=C(C=C1)C1CCN(CC1)C[C@@H](C)OC[C@@H](C1=CC=C(C=C1)C1=C(N=CS1)C)NC(=O)[C@H]1N(C[C@@H](C1)O)C([C@H](C(C)(C)C)NC(=O)C1(CC1)F)=O)=O,OPSIN,SMARCA2,VHL,capillary electrophoresis,NCI-H1568,32±17,nM,4,92±8,4,,BWFPCIGALPXWPF-BLVIHPBHSA-N,OPSIN,,BWFPCIGALPXWPF
10.1038/s41467-022-33430-6,10,"(2S,4R)-N-((R)-2-(((R)-1-(4-(4-bromo-7-cyclopentyl-5-oxo-5,7-dihydrobenzo[4,5]imidazo[1,2-a]quinazolin-9-yl)piperidin-1-yl)propan-2-yl)oxy)-1-(4-(4-methylthiazol-5-yl)phenyl)ethyl)-1-((S)-2-(1-(dimethylamino)cyclopropanecarboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2 carboxamide",BrC=1C=2C(N=C3N(C2C=CC1)C1=C(N3C3CCCC3)C=C(C=C1)C1CCN(CC1)C[C@@H](C)OC[C@@H](C1=CC=C(C=C1)C1=C(N=CS1)C)NC(=O)[C@H]1N(C[C@@H](C1)O)C([C@H](C(C)(C)C)NC(=O)C1(CC1)N(C)C)=O)=O,OPSIN,SMARCA2,VHL,capillary electrophoresis,RKO,3±3,nM,18,82±5,18,,AYSNCSVZNJFPCS-JAHFJGENSA-N,OPSIN,,AYSNCSVZNJFPCS
10.1038/s41467-022-33430-6,10,"(2S,4R)-N-((R)-2-(((R)-1-(4-(4-bromo-7-cyclopentyl-5-oxo-5,7-dihydrobenzo[4,5]imidazo[1,2-a]quinazolin-9-yl)piperidin-1-yl)propan-2-yl)oxy)-1-(4-(4-methylthiazol-5-yl)phenyl)ethyl)-1-((S)-2-(1-(dimethylamino)cyclopropanecarboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2 carboxamide",BrC=1C=2C(N=C3N(C2C=CC1)C1=C(N3C3CCCC3)C=C(C=C1)C1CCN(CC1)C[C@@H](C)OC[C@@H](C1=CC=C(C=C1)C1=C(N=CS1)C)NC(=O)[C@H]1N(C[C@@H](C1)O)C([C@H](C(C)(C)C)NC(=O)C1(CC1)N(C)C)=O)=O,OPSIN,SMARCA4,VHL,capillary electrophoresis,RKO,174±72,nM,18,68±15,18,,AYSNCSVZNJFPCS-JAHFJGENSA-N,OPSIN,,AYSNCSVZNJFPCS
10.1038/s41467-022-33430-6,10,"(2S,4R)-N-((R)-2-(((R)-1-(4-(4-bromo-7-cyclopentyl-5-oxo-5,7-dihydrobenzo[4,5]imidazo[1,2-a]quinazolin-9-yl)piperidin-1-yl)propan-2-yl)oxy)-1-(4-(4-methylthiazol-5-yl)phenyl)ethyl)-1-((S)-2-(1-(dimethylamino)cyclopropanecarboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2 carboxamide",BrC=1C=2C(N=C3N(C2C=CC1)C1=C(N3C3CCCC3)C=C(C=C1)C1CCN(CC1)C[C@@H](C)OC[C@@H](C1=CC=C(C=C1)C1=C(N=CS1)C)NC(=O)[C@H]1N(C[C@@H](C1)O)C([C@H](C(C)(C)C)NC(=O)C1(CC1)N(C)C)=O)=O,OPSIN,SMARCA2,VHL,capillary electrophoresis,RKO,6±3,nM,4,70±2,4,,AYSNCSVZNJFPCS-JAHFJGENSA-N,OPSIN,,AYSNCSVZNJFPCS
10.1038/s41467-022-33430-6,10,"(2S,4R)-N-((R)-2-(((R)-1-(4-(4-bromo-7-cyclopentyl-5-oxo-5,7-dihydrobenzo[4,5]imidazo[1,2-a]quinazolin-9-yl)piperidin-1-yl)propan-2-yl)oxy)-1-(4-(4-methylthiazol-5-yl)phenyl)ethyl)-1-((S)-2-(1-(dimethylamino)cyclopropanecarboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2 carboxamide",BrC=1C=2C(N=C3N(C2C=CC1)C1=C(N3C3CCCC3)C=C(C=C1)C1CCN(CC1)C[C@@H](C)OC[C@@H](C1=CC=C(C=C1)C1=C(N=CS1)C)NC(=O)[C@H]1N(C[C@@H](C1)O)C([C@H](C(C)(C)C)NC(=O)C1(CC1)N(C)C)=O)=O,OPSIN,SMARCA4,VHL,capillary electrophoresis,RKO,83±22,nM,4,34±6,4,,AYSNCSVZNJFPCS-JAHFJGENSA-N,OPSIN,,AYSNCSVZNJFPCS
10.1038/s41467-022-33430-6,11,"(2S,4R)-N-((S)-6-(4-(4-bromo-7-cyclopentyl-5-oxo-5,7-dihydrobenzo[4,5]imidazo[1,2-a]quinazolin-9 yl)piperidin-1-yl)-1-(4-(4-methylthiazol-5-yl)phenyl)hexyl)-1-((S)-2-(1-fluorocyclopropane-1 carboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2-carboxamide",BrC=1C=2C(N=C3N(C2C=CC1)C1=C(N3C3CCCC3)C=C(C=C1)C1CCN(CC1)CCCCC[C@@H](C1=CC=C(C=C1)C1=C(N=CS1)C)NC(=O)[C@H]1N(C[C@@H](C1)O)C([C@H](C(C)(C)C)NC(=O)C1(CC1)F)=O)=O,OPSIN,SMARCA2,VHL,capillary electrophoresis,RKO,1±0.1,nM,18,87±2,18,,NWAHMEWTPAKOEQ-UQZDYNHJSA-N,OPSIN,,NWAHMEWTPAKOEQ
10.1038/s41467-022-33430-6,11,"(2S,4R)-N-((S)-6-(4-(4-bromo-7-cyclopentyl-5-oxo-5,7-dihydrobenzo[4,5]imidazo[1,2-a]quinazolin-9 yl)piperidin-1-yl)-1-(4-(4-methylthiazol-5-yl)phenyl)hexyl)-1-((S)-2-(1-fluorocyclopropane-1 carboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2-carboxamide",BrC=1C=2C(N=C3N(C2C=CC1)C1=C(N3C3CCCC3)C=C(C=C1)C1CCN(CC1)CCCCC[C@@H](C1=CC=C(C=C1)C1=C(N=CS1)C)NC(=O)[C@H]1N(C[C@@H](C1)O)C([C@H](C(C)(C)C)NC(=O)C1(CC1)F)=O)=O,OPSIN,SMARCA4,VHL,capillary electrophoresis,RKO,12±3,nM,18,78±11,18,,NWAHMEWTPAKOEQ-UQZDYNHJSA-N,OPSIN,,NWAHMEWTPAKOEQ
